fecha,positividad_bac,positividad_no_bac,codigo_provincia,provincia
2020-07-08,,0.1634782608695652,74,Linares
2020-07-09,,0.15217391304347827,74,Linares
2020-07-10,0.0,0.14802896218825423,74,Linares
2020-07-11,0.0,0.14349775784753363,74,Linares
2020-07-12,0.0,0.1405152224824356,74,Linares
2020-07-13,0.0,0.14136904761904762,74,Linares
2020-07-14,0.0,0.15121951219512195,74,Linares
2020-07-15,0.0,0.1534130893736805,74,Linares
2020-07-16,0.0,0.15512048192771086,74,Linares
2020-07-17,0.012345679012345678,0.15880503144654087,74,Linares
2020-07-18,0.009009009009009009,0.1611842105263158,74,Linares
2020-07-19,0.008130081300813009,0.16152597402597402,74,Linares
2020-07-20,0.016,0.1687062937062937,74,Linares
2020-07-21,0.022388059701492536,0.16143911439114392,74,Linares
2020-07-22,0.02027027027027027,0.16382575757575757,74,Linares
2020-07-23,0.019736842105263157,0.18086040386303776,74,Linares
2020-07-24,0.00966183574879227,0.17944397641112048,74,Linares
2020-07-25,0.019083969465648856,0.17647058823529413,74,Linares
2020-07-26,0.030821917808219176,0.1834319526627219,74,Linares
2020-07-27,0.02702702702702703,0.1650326797385621,74,Linares
2020-07-28,0.018912529550827423,0.16541978387364922,74,Linares
2020-07-29,0.019271948608137045,0.16481639624252775,74,Linares
2020-07-30,0.017408123791102514,0.14575645756457564,74,Linares
2020-07-31,0.017107309486780714,0.1527001862197393,74,Linares
2020-08-01,0.011869436201780416,0.1606969990319458,74,Linares
2020-08-02,0.008888888888888889,0.16377649325626203,74,Linares
2020-08-03,0.008746355685131196,0.1671497584541063,74,Linares
2020-08-04,0.014265335235378032,0.16872037914691942,74,Linares
2020-08-05,0.017605633802816902,0.171875,74,Linares
2020-08-06,0.01655933762649494,0.16651333946642136,74,Linares
2020-08-07,0.029839326702371844,0.15743440233236153,74,Linares
2020-08-08,0.033693579148124604,0.15625,74,Linares
2020-08-09,0.03390875462392109,0.14368370298939248,74,Linares
2020-08-10,0.032582938388625596,0.14876847290640394,74,Linares
2020-08-11,0.027612344342176503,0.14111675126903553,74,Linares
2020-08-12,0.02763677382966723,0.13663967611336034,74,Linares
2020-08-13,0.026709401709401708,0.14240506329113925,74,Linares
2020-08-14,0.018401380103507763,0.13829787234042554,74,Linares
2020-08-15,0.012016021361815754,0.1381936887921654,74,Linares
2020-08-16,0.010427528675703858,0.14285714285714285,74,Linares
2020-08-17,0.010174418604651164,0.1471861471861472,74,Linares
2020-08-18,0.013091641490433032,0.14945054945054945,74,Linares
2020-08-19,0.016275730014360938,0.14377682403433475,74,Linares
2020-08-20,0.02132701421800948,0.1462655601659751,74,Linares
2020-08-21,0.029857397504456328,0.13968253968253969,74,Linares
2020-08-22,0.03094855305466238,0.13649851632047477,74,Linares
2020-08-23,0.035299374441465595,0.13533834586466165,74,Linares
2020-08-24,0.03609154929577465,0.13532338308457711,74,Linares
2020-08-25,0.03240548400498546,0.11971830985915492,74,Linares
2020-08-26,0.02896825396825397,0.12511332728921123,74,Linares
2020-08-27,0.027777777777777776,0.12107208872458411,74,Linares
2020-08-28,0.02315006200909467,0.13262599469496023,74,Linares
2020-08-29,0.02104810996563574,0.13482142857142856,74,Linares
2020-08-30,0.018581081081081082,0.1347107438016529,74,Linares
2020-08-31,0.019553072625698324,0.12622950819672132,74,Linares
2020-09-01,0.024262607040913417,0.1408199643493761,74,Linares
2020-09-02,0.03436254980079681,0.14067796610169492,74,Linares
2020-09-03,0.03424987940183309,0.14742014742014742,74,Linares
2020-09-04,0.037309769268532154,0.14959349593495935,74,Linares
2020-09-05,0.0468675274988044,0.1453534551231136,74,Linares
2020-09-06,0.04893410852713178,0.1546644844517185,74,Linares
2020-09-07,0.04786010124252186,0.1582622187742436,74,Linares
2020-09-08,0.04698295716259788,0.1619402985074627,74,Linares
2020-09-09,0.03977272727272727,0.16604057099924868,74,Linares
2020-09-10,0.035806729939603106,0.15984251968503937,74,Linares
2020-09-11,0.030629139072847682,0.1575178997613365,74,Linares
2020-09-12,0.024814976055724858,0.15498442367601245,74,Linares
2020-09-13,0.0283657917019475,0.14320585842148087,74,Linares
2020-09-14,0.02900326797385621,0.13836477987421383,74,Linares
2020-09-15,0.027103559870550162,0.12021371326803205,74,Linares
2020-09-16,0.02793076317859953,0.11671087533156499,74,Linares
2020-09-17,0.03365384615384615,0.11461067366579178,74,Linares
2020-09-18,0.03455453788509576,0.11684782608695653,74,Linares
2020-09-19,0.03401094605160281,0.1220703125,74,Linares
2020-09-20,0.034333070244672456,0.12998102466793168,74,Linares
2020-09-21,0.033631332481907195,0.1368515205724508,74,Linares
2020-09-22,0.033905768383971815,0.15154536390827517,74,Linares
2020-09-23,0.033046627433227706,0.1461100569259962,74,Linares
2020-09-24,0.034715960324616775,0.13893805309734514,74,Linares
2020-09-25,0.034100974313551816,0.12705272255834055,74,Linares
2020-09-26,0.03122326775021386,0.12390087929656275,74,Linares
2020-09-27,0.027004909983633387,0.11925866236905722,74,Linares
2020-09-28,0.027559055118110236,0.11547169811320755,74,Linares
2020-09-29,0.03109404990403071,0.10695587135377711,74,Linares
2020-09-30,0.03385917660638707,0.09664536741214058,74,Linares
2020-10-01,0.03301707779886148,0.09865092748735245,74,Linares
2020-10-02,0.041906958861976165,0.09356223175965665,74,Linares
2020-10-03,0.0444706808343172,0.08309726156751653,74,Linares
2020-10-04,0.04295942720763723,0.07528786536758193,74,Linares
2020-10-05,0.04389233954451346,0.061037639877924724,74,Linares
2020-10-06,0.048556430446194225,0.06362773029439696,74,Linares
2020-10-07,0.050528249885163065,0.06513409961685823,74,Linares
2020-10-08,0.05240590757503573,0.05643564356435644,74,Linares
2020-10-09,0.044651162790697675,0.06403940886699508,74,Linares
2020-10-10,0.04603701945894637,0.07502374169040836,74,Linares
2020-10-11,0.053763440860215055,0.08161157024793389,74,Linares
2020-10-12,0.05236198064883324,0.08902691511387163,74,Linares
2020-10-13,0.046278924327704814,0.0911214953271028,74,Linares
2020-10-14,0.04394904458598726,0.10067114093959731,74,Linares
2020-10-15,0.04096385542168675,0.09978991596638656,74,Linares
2020-10-16,0.0424857324032974,0.09706774519716886,74,Linares
2020-10-17,0.0398110661268556,0.09263157894736843,74,Linares
2020-10-18,0.03819223424570337,0.0919661733615222,74,Linares
2020-10-19,0.03802281368821293,0.08568443051201671,74,Linares
2020-10-20,0.03991130820399113,0.08066083576287658,74,Linares
2020-10-21,0.04,0.07642124883504194,74,Linares
2020-10-22,0.035876993166287015,0.09458128078817735,74,Linares
2020-10-23,0.03377218088151116,0.08958333333333333,74,Linares
2020-10-24,0.03205791106514995,0.08374875373878365,74,Linares
2020-10-25,0.031517094017094016,0.08250497017892644,74,Linares
2020-10-26,0.030138339920948616,0.08307692307692308,74,Linares
2020-10-27,0.03424317617866005,0.09164149043303121,74,Linares
2020-10-28,0.031385803959439885,0.0945945945945946,74,Linares
2020-10-29,0.03263516804676084,0.08678500986193294,74,Linares
2020-10-30,0.030392156862745098,0.08565928777670838,74,Linares
2020-10-31,0.032907662082514735,0.09038461538461538,74,Linares
2020-11-01,0.03302574065080136,0.08674928503336511,74,Linares
2020-11-02,0.034957627118644065,0.08386508659981769,74,Linares
2020-11-03,0.028526970954356846,0.07876106194690266,74,Linares
2020-11-04,0.029956427015250545,0.0823199251637044,74,Linares
2020-11-05,0.041893362350380846,0.0791015625,74,Linares
2020-11-06,0.04240282685512368,0.08191489361702127,74,Linares
2020-11-07,0.04080425783560024,0.08527918781725888,74,Linares
2020-11-08,0.03997648442092887,0.08915441176470588,74,Linares
2020-11-09,0.03920454545454546,0.09744560075685904,74,Linares
2020-11-10,0.0446677833612507,0.09202453987730061,74,Linares
2020-11-11,0.04535637149028078,0.09302325581395349,74,Linares
2020-11-12,0.030991735537190084,0.09380530973451327,74,Linares
2020-11-13,0.030697674418604652,0.09967845659163987,74,Linares
2020-11-14,0.03053053053053053,0.102880658436214,74,Linares
2020-11-15,0.030995934959349592,0.1052158273381295,74,Linares
2020-11-16,0.032093734080489045,0.10353535353535354,74,Linares
