"semana_epidemiologica","grupo_edad","tasa_incidencia","tasa_incidencia_categoria"
56,"20 - 29 años",188.789804962475,"(150, 250]"
56,"30 - 39 años",197.232282494423,"(150, 250]"
56,"40 - 49 años",176.130027649206,"(150, 250]"
56,"50 - 59 años",185.197609520398,"(150, 250]"
56,"60 - 69 años",146.84019197318,"(70, 150]"
56,"70 - 79 años",138.491376630357,"(70, 150]"
56,"80 años o más",133.678593503696,"(70, 150]"
57,"00 - 09 años",36.679528091787,"(35, 70]"
57,"10 - 19 años",80.1479093235699,"(70, 150]"
57,"20 - 29 años",166.767561526462,"(150, 250]"
57,"30 - 39 años",169.357842168651,"(150, 250]"
57,"40 - 49 años",157.531735484167,"(150, 250]"
57,"50 - 59 años",168.4036590558,"(150, 250]"
57,"60 - 69 años",135.476568207796,"(70, 150]"
57,"70 - 79 años",142.10157906243,"(70, 150]"
57,"80 años o más",125.815146827008,"(70, 150]"
