"fecha";"r.estimado";"r.liminf";"r.lisup";"r.liminf80";"r.lisup80"
"2020-06-22";0.902192301348493;0.869736104746354;0.934648497950632;0.880971886509239;0.923412716187747
"2020-06-23";0.895098028109626;0.857346480087751;0.9328495761315;0.870414819573635;0.919781236645616
"2020-06-24";0.895448369417563;0.85410015856342;0.936796580271706;0.868413019263016;0.92248371957211
"2020-06-25";0.886029261095102;0.843633579628604;0.928424942561601;0.858308953277429;0.913749568912776
"2020-06-26";0.877526033885383;0.832826298841323;0.922225768929443;0.848299100530973;0.906752967239793
"2020-06-27";0.859790978002314;0.813227409268011;0.906354546736617;0.829345169765211;0.890236786239416
"2020-06-28";0.864582897605882;0.812614459425311;0.916551335786453;0.830602910279956;0.898562884931808
"2020-06-29";0.846129244233042;0.79421139952352;0.898047088942565;0.812182423721661;0.880076064744424
"2020-06-30";0.854836806954635;0.798011599795406;0.911662014113863;0.81768111252447;0.8919925013848
"2020-07-01";0.884286974221826;0.825829582646977;0.942744365796676;0.846064129423971;0.922509819019681
"2020-07-02";0.877178131314964;0.826016404757764;0.928339857872164;0.843725847117908;0.91063041551202
"2020-07-03";0.872693182885685;0.823052527139334;0.922333838632036;0.840235614729238;0.905150751042131
"2020-07-04";0.879757739773595;0.829475433712349;0.930040045834841;0.846880703236701;0.912634776310489
"2020-07-05";0.885465816321388;0.83691857876287;0.934013053879905;0.8537230855453;0.917208547097476
"2020-07-06";0.9099891179138;0.86192158175864;0.958056654068959;0.878560252399214;0.941417983428385
"2020-07-07";0.900811822629909;0.858472991466093;0.943150653793725;0.873129211441552;0.928494433818266
"2020-07-08";0.866494519731137;0.826105120361535;0.90688391910074;0.84008691063526;0.892902128827015
"2020-07-09";0.878994018760718;0.831992676899647;0.92599536062179;0.848262590976037;0.9097254465454
"2020-07-10";0.89663199516434;0.848364177447408;0.944899812881272;0.865072679262121;0.928191311066559
"2020-07-11";0.896614871411019;0.852103475892048;0.94112626692999;0.86751161532249;0.925718127499548
"2020-07-12";0.898193428475427;0.854874873289205;0.941511983661648;0.869870243615614;0.92651661333524
